====iter_100: fit=9.1382, reg=1.2358, acc=0.0078
====iter_200: fit=9.1382, reg=1.1177, acc=0.0078
====iter_300: fit=9.0669, reg=1.0108, acc=0.0156
====iter_400: fit=9.0669, reg=0.9142, acc=0.0156
====iter_500: fit=9.2094, reg=0.8268, acc=0.0000
====iter_600: fit=9.1382, reg=0.7478, acc=0.0078
====iter_700: fit=9.1382, reg=0.6763, acc=0.0078
====iter_800: fit=9.2094, reg=0.6116, acc=0.0000
====iter_900: fit=9.1382, reg=0.5532, acc=0.0078
====iter_1000: fit=9.2094, reg=0.5003, acc=0.0000
====iter_1100: fit=8.9957, reg=0.4525, acc=0.0234
====iter_1200: fit=9.1382, reg=0.4092, acc=0.0078
====iter_1300: fit=9.0669, reg=0.3701, acc=0.0156
====iter_1400: fit=9.0669, reg=0.3347, acc=0.0156
====iter_1500: fit=9.2094, reg=0.3027, acc=0.0000
====iter_1600: fit=9.1382, reg=0.2738, acc=0.0078
====iter_1700: fit=9.2094, reg=0.2476, acc=0.0000
====iter_1800: fit=9.2094, reg=0.2239, acc=0.0000
====iter_1900: fit=9.0669, reg=0.2025, acc=0.0156
====iter_2000: fit=9.1382, reg=0.1832, acc=0.0078
====iter_2100: fit=4.7043, reg=0.4865, acc=0.0078
====iter_2200: fit=4.5616, reg=0.4453, acc=0.0391
====iter_2300: fit=4.5240, reg=0.4040, acc=0.0078
====iter_2400: fit=4.4524, reg=0.3667, acc=0.0312
====iter_2500: fit=4.5051, reg=0.3321, acc=0.0156
====iter_2600: fit=4.4497, reg=0.3017, acc=0.0234
====iter_2700: fit=4.3969, reg=0.2752, acc=0.0234
====iter_2800: fit=4.2836, reg=0.2550, acc=0.0703
====iter_2900: fit=4.1445, reg=0.2376, acc=0.0391
====iter_3000: fit=4.0156, reg=0.2224, acc=0.1094
====iter_3100: fit=4.0280, reg=0.2104, acc=0.0859
====iter_3200: fit=4.1888, reg=0.2001, acc=0.0625
====iter_3300: fit=3.9448, reg=0.1921, acc=0.0938
====iter_3400: fit=3.8600, reg=0.1866, acc=0.0859
====iter_3500: fit=3.7334, reg=0.1841, acc=0.0938
====iter_3600: fit=3.4884, reg=0.1831, acc=0.1016
====iter_3700: fit=3.6055, reg=0.1828, acc=0.1406
====iter_3800: fit=3.3609, reg=0.1847, acc=0.1562
====iter_3900: fit=3.4939, reg=0.1868, acc=0.1875
====iter_4000: fit=3.2350, reg=0.1918, acc=0.2031
====iter_4100: fit=3.2783, reg=0.1956, acc=0.1875
====iter_4200: fit=3.4545, reg=0.2037, acc=0.1562
====iter_4300: fit=3.2528, reg=0.2097, acc=0.2031
====iter_4400: fit=3.2045, reg=0.2186, acc=0.1562
====iter_4500: fit=3.0674, reg=0.2267, acc=0.2656
====iter_4600: fit=2.8672, reg=0.2364, acc=0.2500
====iter_4700: fit=2.8674, reg=0.2463, acc=0.2578
====iter_4800: fit=2.7491, reg=0.2560, acc=0.3281
====iter_4900: fit=2.9060, reg=0.2670, acc=0.2891
====iter_5000: fit=2.7611, reg=0.2772, acc=0.2812
====iter_5100: fit=3.0315, reg=0.2883, acc=0.2344
====iter_5200: fit=2.5780, reg=0.3004, acc=0.3281
====iter_5300: fit=2.5090, reg=0.3122, acc=0.3281
====iter_5400: fit=2.4458, reg=0.3224, acc=0.3516
====iter_5500: fit=2.6149, reg=0.3332, acc=0.3125
====iter_5600: fit=2.6255, reg=0.3447, acc=0.2969
====iter_5700: fit=2.7485, reg=0.3542, acc=0.2656
====iter_5800: fit=2.4508, reg=0.3660, acc=0.3438
====iter_5900: fit=2.3549, reg=0.3746, acc=0.3906
====iter_6000: fit=2.3581, reg=0.3843, acc=0.4141
====iter_6100: fit=2.2652, reg=0.3935, acc=0.4062
====iter_6200: fit=2.1791, reg=0.4017, acc=0.3672
====iter_6300: fit=2.2539, reg=0.4115, acc=0.3984
====iter_6400: fit=2.3481, reg=0.4212, acc=0.4062
====iter_6500: fit=2.5611, reg=0.4297, acc=0.3125
====iter_6600: fit=2.3452, reg=0.4384, acc=0.3438
====iter_6700: fit=2.5999, reg=0.4457, acc=0.3359
====iter_6800: fit=2.4841, reg=0.4535, acc=0.3516
====iter_6900: fit=2.1651, reg=0.4600, acc=0.4375
====iter_7000: fit=2.3569, reg=0.4671, acc=0.4219
====iter_7100: fit=2.2114, reg=0.4759, acc=0.4141
====iter_7200: fit=2.3935, reg=0.4842, acc=0.3672
====iter_7300: fit=2.4000, reg=0.4908, acc=0.3750
====iter_7400: fit=2.5250, reg=0.4984, acc=0.3906
====iter_7500: fit=2.2706, reg=0.5066, acc=0.3984
====iter_7600: fit=2.2395, reg=0.5146, acc=0.4219
====iter_7700: fit=2.2638, reg=0.5185, acc=0.4141
====iter_7800: fit=2.0173, reg=0.5234, acc=0.4766
====iter_7900: fit=2.3336, reg=0.5290, acc=0.2969
====iter_8000: fit=2.1039, reg=0.5366, acc=0.4297
====iter_8100: fit=1.9832, reg=0.5425, acc=0.4375
====iter_8200: fit=1.9969, reg=0.5481, acc=0.4609
====iter_8300: fit=1.9886, reg=0.5543, acc=0.4453
====iter_8400: fit=2.0941, reg=0.5601, acc=0.3906
====iter_8500: fit=2.2113, reg=0.5654, acc=0.3906
====iter_8600: fit=2.3788, reg=0.5715, acc=0.4219
====iter_8700: fit=1.9323, reg=0.5775, acc=0.4922
====iter_8800: fit=1.9135, reg=0.5820, acc=0.5000
====iter_8900: fit=1.8998, reg=0.5879, acc=0.4766
====iter_9000: fit=1.7626, reg=0.5916, acc=0.5547
====iter_9100: fit=1.6981, reg=0.5977, acc=0.5781
====iter_9200: fit=1.9787, reg=0.6027, acc=0.4609
====iter_9300: fit=2.3615, reg=0.6079, acc=0.4141
====iter_9400: fit=1.9553, reg=0.6120, acc=0.5078
====iter_9500: fit=2.2830, reg=0.6178, acc=0.4375
====iter_9600: fit=2.0322, reg=0.6225, acc=0.4609
====iter_9700: fit=2.1571, reg=0.6269, acc=0.4219
====iter_9800: fit=1.9745, reg=0.6323, acc=0.4531
====iter_9900: fit=1.7292, reg=0.6364, acc=0.5078
====iter_10000: fit=1.9870, reg=0.6406, acc=0.3984
====iter_10100: fit=1.7846, reg=0.6437, acc=0.5547
====iter_10200: fit=2.0910, reg=0.6484, acc=0.4141
====iter_10300: fit=1.9146, reg=0.6529, acc=0.4766
====iter_10400: fit=2.1125, reg=0.6560, acc=0.4297
====iter_10500: fit=2.1083, reg=0.6576, acc=0.4609
====iter_10600: fit=1.5901, reg=0.6632, acc=0.6094
====iter_10700: fit=1.9843, reg=0.6660, acc=0.4453
====iter_10800: fit=1.9411, reg=0.6703, acc=0.4766
====iter_10900: fit=1.8972, reg=0.6726, acc=0.4375
====iter_11000: fit=2.1475, reg=0.6782, acc=0.4531
====iter_11100: fit=1.8952, reg=0.6834, acc=0.4688
====iter_11200: fit=1.7927, reg=0.6873, acc=0.5391
====iter_11300: fit=1.8260, reg=0.6884, acc=0.4766
====iter_11400: fit=2.0496, reg=0.6924, acc=0.4375
====iter_11500: fit=1.9847, reg=0.6970, acc=0.4531
====iter_11600: fit=1.8306, reg=0.6983, acc=0.4844
====iter_11700: fit=2.0134, reg=0.7008, acc=0.4375
====iter_11800: fit=1.7888, reg=0.7032, acc=0.5391
====iter_11900: fit=1.6132, reg=0.7091, acc=0.5547
====iter_12000: fit=1.8944, reg=0.7095, acc=0.4922
====iter_12100: fit=2.1398, reg=0.7094, acc=0.4453
====iter_12200: fit=1.9887, reg=0.7138, acc=0.4297
====iter_12300: fit=1.9921, reg=0.7168, acc=0.4609
====iter_12400: fit=1.9151, reg=0.7187, acc=0.4766
====iter_12500: fit=1.7990, reg=0.7201, acc=0.5312
====iter_12600: fit=1.9754, reg=0.7256, acc=0.4766
====iter_12700: fit=2.0002, reg=0.7300, acc=0.4453
====iter_12800: fit=1.8863, reg=0.7330, acc=0.5312
====iter_12900: fit=1.6087, reg=0.7341, acc=0.5938
====iter_13000: fit=1.8757, reg=0.7369, acc=0.4531
====iter_13100: fit=1.9151, reg=0.7389, acc=0.4844
====iter_13200: fit=1.8760, reg=0.7406, acc=0.4844
====iter_13300: fit=1.8850, reg=0.7426, acc=0.4844
====iter_13400: fit=1.6779, reg=0.7474, acc=0.5859
====iter_13500: fit=1.9483, reg=0.7502, acc=0.4375
====iter_13600: fit=1.8291, reg=0.7518, acc=0.5000
====iter_13700: fit=1.8581, reg=0.7560, acc=0.4922
====iter_13800: fit=2.1467, reg=0.7595, acc=0.4375
====iter_13900: fit=1.8634, reg=0.7599, acc=0.5234
====iter_14000: fit=1.8494, reg=0.7609, acc=0.5000
====iter_14100: fit=1.7626, reg=0.7630, acc=0.4453
====iter_14200: fit=1.7194, reg=0.7670, acc=0.5312
====iter_14300: fit=1.9192, reg=0.7687, acc=0.5000
====iter_14400: fit=1.7873, reg=0.7717, acc=0.5000
====iter_14500: fit=1.7228, reg=0.7705, acc=0.5703
====iter_14600: fit=2.0931, reg=0.7721, acc=0.5000
====iter_14700: fit=1.9088, reg=0.7729, acc=0.4688
====iter_14800: fit=1.6951, reg=0.7714, acc=0.5391
====iter_14900: fit=1.7517, reg=0.7757, acc=0.5391
