====iter_100: fit=9.1382, reg=1.2543, thom=-6.8849, thomf=-7.0165, acc=0.0078
====iter_200: fit=9.0669, reg=1.1344, thom=-6.8963, thomf=-7.0217, acc=0.0156
====iter_300: fit=9.2094, reg=1.0261, thom=-6.9055, thomf=-7.0252, acc=0.0000
====iter_400: fit=8.9957, reg=0.9280, thom=-6.9130, thomf=-7.0275, acc=0.0234
====iter_500: fit=9.2094, reg=0.8393, thom=-6.9192, thomf=-7.0291, acc=0.0000
====iter_600: fit=9.0669, reg=0.7591, thom=-6.9244, thomf=-7.0302, acc=0.0156
====iter_700: fit=9.1382, reg=0.6866, thom=-6.9286, thomf=-7.0310, acc=0.0078
====iter_800: fit=9.0669, reg=0.6210, thom=-6.9321, thomf=-7.0314, acc=0.0156
====iter_900: fit=9.0669, reg=0.5616, thom=-6.9349, thomf=-7.0317, acc=0.0156
====iter_1000: fit=9.2094, reg=0.5079, thom=-6.9373, thomf=-7.0318, acc=0.0000
====iter_1100: fit=9.1382, reg=0.4594, thom=-6.9393, thomf=-7.0319, acc=0.0078
====iter_1200: fit=9.1382, reg=0.4155, thom=-6.9409, thomf=-7.0319, acc=0.0078
====iter_1300: fit=9.1382, reg=0.3758, thom=-6.9423, thomf=-7.0320, acc=0.0078
====iter_1400: fit=9.1382, reg=0.3399, thom=-6.9434, thomf=-7.0320, acc=0.0078
====iter_1500: fit=8.9957, reg=0.3074, thom=-6.9444, thomf=-7.0320, acc=0.0234
====iter_1600: fit=9.1382, reg=0.2780, thom=-6.9452, thomf=-7.0320, acc=0.0078
====iter_1700: fit=9.2094, reg=0.2514, thom=-6.9459, thomf=-7.0320, acc=0.0000
====iter_1800: fit=4.9207, reg=0.2354, thom=-6.9348, thomf=-7.0238, acc=0.0078
====iter_1900: fit=4.6871, reg=0.2942, thom=-6.8621, thomf=-7.0236, acc=0.0234
====iter_2000: fit=4.6181, reg=0.2747, thom=-6.8917, thomf=-7.0266, acc=0.0078
====iter_2100: fit=4.4563, reg=0.2521, thom=-6.9133, thomf=-7.0237, acc=0.0234
====iter_2200: fit=4.5391, reg=0.2306, thom=-6.9254, thomf=-7.0206, acc=0.0234
====iter_2300: fit=4.4619, reg=0.2141, thom=-6.9304, thomf=-7.0143, acc=0.0078
====iter_2400: fit=4.0519, reg=0.2074, thom=-6.9295, thomf=-6.9952, acc=0.0781
====iter_2500: fit=4.0475, reg=0.2060, thom=-6.9286, thomf=-6.9968, acc=0.0859
====iter_2600: fit=3.7285, reg=0.2102, thom=-6.9258, thomf=-6.9945, acc=0.1328
====iter_2700: fit=3.8368, reg=0.2189, thom=-6.9224, thomf=-6.9927, acc=0.1328
====iter_2800: fit=3.4309, reg=0.2320, thom=-6.9201, thomf=-6.9913, acc=0.1797
====iter_2900: fit=3.1993, reg=0.2473, thom=-6.9172, thomf=-6.9905, acc=0.2422
====iter_3000: fit=2.9488, reg=0.2641, thom=-6.9156, thomf=-6.9903, acc=0.2188
====iter_3100: fit=2.9715, reg=0.2829, thom=-6.9143, thomf=-6.9900, acc=0.2812
====iter_3200: fit=2.9118, reg=0.3059, thom=-6.9128, thomf=-6.9913, acc=0.2188
====iter_3300: fit=2.9336, reg=0.3287, thom=-6.9121, thomf=-6.9913, acc=0.2656
====iter_3400: fit=2.7179, reg=0.3513, thom=-6.9113, thomf=-6.9902, acc=0.3047
====iter_3500: fit=2.6873, reg=0.3732, thom=-6.9109, thomf=-6.9917, acc=0.3203
====iter_3600: fit=2.6325, reg=0.3984, thom=-6.9102, thomf=-6.9924, acc=0.3047
====iter_3700: fit=2.4717, reg=0.4218, thom=-6.9097, thomf=-6.9922, acc=0.3828
====iter_3800: fit=2.4237, reg=0.4414, thom=-6.9100, thomf=-6.9918, acc=0.3906
====iter_3900: fit=2.5095, reg=0.4593, thom=-6.9099, thomf=-6.9916, acc=0.3984
====iter_4000: fit=2.2190, reg=0.4789, thom=-6.9102, thomf=-6.9931, acc=0.4453
====iter_4100: fit=2.0910, reg=0.4981, thom=-6.9104, thomf=-6.9938, acc=0.5078
====iter_4200: fit=2.5230, reg=0.5130, thom=-6.9105, thomf=-6.9947, acc=0.3906
====iter_4300: fit=1.9067, reg=0.5260, thom=-6.9112, thomf=-6.9932, acc=0.4922
====iter_4400: fit=2.5377, reg=0.5428, thom=-6.9114, thomf=-6.9946, acc=0.3672
====iter_4500: fit=2.4232, reg=0.5590, thom=-6.9115, thomf=-6.9951, acc=0.3906
====iter_4600: fit=2.1032, reg=0.5707, thom=-6.9117, thomf=-6.9964, acc=0.4922
====iter_4700: fit=1.9157, reg=0.5830, thom=-6.9123, thomf=-6.9957, acc=0.4453
====iter_4800: fit=2.1968, reg=0.5970, thom=-6.9122, thomf=-6.9965, acc=0.3906
====iter_4900: fit=1.9571, reg=0.6106, thom=-6.9125, thomf=-6.9959, acc=0.5234
====iter_5000: fit=1.9390, reg=0.6214, thom=-6.9130, thomf=-6.9955, acc=0.5234
