====iter_100: fit=9.0669, reg=1.2104, thom=5.0373, thomf=4.9677, acc=0.0156
====iter_200: fit=9.2094, reg=1.0947, thom=5.0310, thomf=4.9613, acc=0.0000
====iter_300: fit=9.0669, reg=0.9901, thom=5.0258, thomf=4.9575, acc=0.0156
====iter_400: fit=9.1382, reg=0.8955, thom=5.0216, thomf=4.9549, acc=0.0078
====iter_500: fit=9.1382, reg=0.8099, thom=5.0182, thomf=4.9532, acc=0.0078
====iter_600: fit=9.1382, reg=0.7325, thom=5.0154, thomf=4.9521, acc=0.0078
====iter_700: fit=8.9245, reg=0.6625, thom=5.0131, thomf=4.9513, acc=0.0312
====iter_800: fit=9.2094, reg=0.5992, thom=5.0111, thomf=4.9509, acc=0.0000
====iter_900: fit=9.0669, reg=0.5419, thom=5.0096, thomf=4.9506, acc=0.0156
====iter_1000: fit=9.2094, reg=0.4901, thom=5.0083, thomf=4.9504, acc=0.0000
====iter_1100: fit=9.1382, reg=0.4433, thom=5.0072, thomf=4.9503, acc=0.0078
====iter_1200: fit=9.0669, reg=0.4009, thom=5.0063, thomf=4.9503, acc=0.0156
====iter_1300: fit=4.7754, reg=0.4446, thom=5.0649, thomf=4.9564, acc=0.0000
====iter_1400: fit=4.7453, reg=0.4161, thom=5.0597, thomf=4.9565, acc=0.0156
====iter_1500: fit=4.6088, reg=0.3782, thom=5.0379, thomf=4.9541, acc=0.0234
====iter_1600: fit=4.4195, reg=0.3464, thom=5.0273, thomf=4.9657, acc=0.0234
====iter_1700: fit=4.1020, reg=0.3264, thom=5.0242, thomf=4.9792, acc=0.0781
====iter_1800: fit=3.8483, reg=0.3115, thom=5.0224, thomf=4.9829, acc=0.0859
====iter_1900: fit=3.8553, reg=0.3042, thom=5.0237, thomf=4.9855, acc=0.1172
====iter_2000: fit=3.6976, reg=0.3037, thom=5.0260, thomf=4.9886, acc=0.1250
====iter_2100: fit=3.4704, reg=0.3086, thom=5.0288, thomf=4.9896, acc=0.1406
====iter_2200: fit=3.0479, reg=0.3162, thom=5.0314, thomf=4.9889, acc=0.2422
====iter_2300: fit=3.0363, reg=0.3277, thom=5.0332, thomf=4.9907, acc=0.2812
====iter_2400: fit=3.1968, reg=0.3422, thom=5.0348, thomf=4.9914, acc=0.2266
====iter_2500: fit=3.0354, reg=0.3579, thom=5.0363, thomf=4.9909, acc=0.2656
====iter_2600: fit=2.6938, reg=0.3754, thom=5.0374, thomf=4.9909, acc=0.3281
====iter_2700: fit=3.0693, reg=0.3939, thom=5.0388, thomf=4.9911, acc=0.2969
====iter_2800: fit=2.7004, reg=0.4124, thom=5.0394, thomf=4.9897, acc=0.3281
====iter_2900: fit=2.4104, reg=0.4316, thom=5.0401, thomf=4.9895, acc=0.4531
====iter_3000: fit=2.6069, reg=0.4516, thom=5.0408, thomf=4.9892, acc=0.3906
====iter_3100: fit=2.4174, reg=0.4700, thom=5.0414, thomf=4.9901, acc=0.3672
====iter_3200: fit=2.4455, reg=0.4882, thom=5.0413, thomf=4.9882, acc=0.3516
====iter_3300: fit=2.2505, reg=0.5064, thom=5.0418, thomf=4.9889, acc=0.3906
====iter_3400: fit=2.4520, reg=0.5223, thom=5.0416, thomf=4.9875, acc=0.3828
====iter_3500: fit=2.2643, reg=0.5355, thom=5.0414, thomf=4.9875, acc=0.4375
====iter_3600: fit=2.3703, reg=0.5527, thom=5.0412, thomf=4.9870, acc=0.3359
====iter_3700: fit=2.2672, reg=0.5692, thom=5.0412, thomf=4.9864, acc=0.3984
====iter_3800: fit=2.0978, reg=0.5820, thom=5.0413, thomf=4.9862, acc=0.4375
====iter_3900: fit=2.0282, reg=0.5947, thom=5.0413, thomf=4.9859, acc=0.4141
====iter_4000: fit=2.2990, reg=0.6083, thom=5.0406, thomf=4.9838, acc=0.3594
====iter_4100: fit=2.2668, reg=0.6211, thom=5.0403, thomf=4.9854, acc=0.4375
