====iter_100: fit=9.1382, reg=1.2158, thom=4.0300, thomf=3.9652, acc=0.0078
====iter_200: fit=9.2094, reg=1.0996, thom=4.0243, thomf=3.9588, acc=0.0000
====iter_300: fit=8.9957, reg=0.9946, thom=4.0199, thomf=3.9551, acc=0.0234
====iter_400: fit=9.1382, reg=0.8995, thom=4.0162, thomf=3.9526, acc=0.0078
====iter_500: fit=9.1382, reg=0.8136, thom=4.0132, thomf=3.9508, acc=0.0078
====iter_600: fit=8.9957, reg=0.7358, thom=4.0106, thomf=3.9496, acc=0.0234
====iter_700: fit=9.0669, reg=0.6655, thom=4.0085, thomf=3.9488, acc=0.0156
====iter_800: fit=8.9957, reg=0.6019, thom=4.0068, thomf=3.9483, acc=0.0234
====iter_900: fit=9.0669, reg=0.5443, thom=4.0053, thomf=3.9480, acc=0.0156
====iter_1000: fit=9.0669, reg=0.4923, thom=4.0041, thomf=3.9478, acc=0.0156
====iter_1100: fit=9.1382, reg=0.4453, thom=4.0031, thomf=3.9477, acc=0.0078
====iter_1200: fit=9.1382, reg=0.4027, thom=4.0022, thomf=3.9476, acc=0.0078
====iter_1300: fit=9.0669, reg=0.3642, thom=4.0015, thomf=3.9476, acc=0.0156
====iter_1400: fit=9.1382, reg=0.3294, thom=4.0008, thomf=3.9476, acc=0.0078
====iter_1500: fit=9.2094, reg=0.2979, thom=4.0003, thomf=3.9475, acc=0.0000
====iter_1600: fit=4.9489, reg=0.2745, thom=4.0064, thomf=3.9502, acc=0.0078
====iter_1700: fit=4.6369, reg=0.3045, thom=4.0651, thomf=3.9521, acc=0.0078
====iter_1800: fit=4.6682, reg=0.2839, thom=4.0439, thomf=3.9531, acc=0.0000
====iter_1900: fit=4.5852, reg=0.2594, thom=4.0253, thomf=3.9612, acc=0.0234
====iter_2000: fit=4.3257, reg=0.2410, thom=4.0175, thomf=3.9661, acc=0.0547
====iter_2100: fit=4.1936, reg=0.2293, thom=4.0148, thomf=3.9781, acc=0.0547
====iter_2200: fit=4.0752, reg=0.2229, thom=4.0147, thomf=3.9772, acc=0.0391
====iter_2300: fit=3.7677, reg=0.2226, thom=4.0166, thomf=3.9821, acc=0.1328
====iter_2400: fit=3.5926, reg=0.2288, thom=4.0205, thomf=3.9852, acc=0.1328
====iter_2500: fit=3.3463, reg=0.2387, thom=4.0243, thomf=3.9854, acc=0.1562
====iter_2600: fit=3.5164, reg=0.2523, thom=4.0279, thomf=3.9878, acc=0.1484
====iter_2700: fit=3.2313, reg=0.2677, thom=4.0304, thomf=3.9879, acc=0.2266
====iter_2800: fit=2.9846, reg=0.2882, thom=4.0330, thomf=3.9878, acc=0.1953
====iter_2900: fit=3.1521, reg=0.3095, thom=4.0352, thomf=3.9878, acc=0.2344
====iter_3000: fit=2.4793, reg=0.3312, thom=4.0366, thomf=3.9895, acc=0.3750
====iter_3100: fit=2.6863, reg=0.3529, thom=4.0373, thomf=3.9885, acc=0.3359
====iter_3200: fit=2.7355, reg=0.3763, thom=4.0380, thomf=3.9875, acc=0.2891
====iter_3300: fit=2.4523, reg=0.3997, thom=4.0387, thomf=3.9867, acc=0.3125
====iter_3400: fit=2.8103, reg=0.4204, thom=4.0384, thomf=3.9873, acc=0.2812
====iter_3500: fit=2.5183, reg=0.4401, thom=4.0380, thomf=3.9871, acc=0.3672
====iter_3600: fit=2.3376, reg=0.4622, thom=4.0380, thomf=3.9862, acc=0.3906
====iter_3700: fit=2.4124, reg=0.4803, thom=4.0379, thomf=3.9845, acc=0.3828
====iter_3800: fit=2.2722, reg=0.4994, thom=4.0380, thomf=3.9861, acc=0.4297
====iter_3900: fit=2.2270, reg=0.5146, thom=4.0378, thomf=3.9857, acc=0.4219
====iter_4000: fit=2.4188, reg=0.5320, thom=4.0374, thomf=3.9834, acc=0.3906
====iter_4100: fit=2.1074, reg=0.5464, thom=4.0368, thomf=3.9832, acc=0.4141
====iter_4200: fit=2.2174, reg=0.5613, thom=4.0370, thomf=3.9836, acc=0.3828
====iter_4300: fit=2.1703, reg=0.5746, thom=4.0364, thomf=3.9834, acc=0.4141
====iter_4400: fit=2.0845, reg=0.5882, thom=4.0357, thomf=3.9825, acc=0.4062
====iter_4500: fit=1.9413, reg=0.6012, thom=4.0357, thomf=3.9834, acc=0.4766
====iter_4600: fit=1.9711, reg=0.6120, thom=4.0352, thomf=3.9832, acc=0.4844
====iter_4700: fit=1.8741, reg=0.6221, thom=4.0352, thomf=3.9813, acc=0.5000
====iter_4800: fit=2.1866, reg=0.6369, thom=4.0350, thomf=3.9813, acc=0.4219
====iter_4900: fit=2.1040, reg=0.6491, thom=4.0347, thomf=3.9813, acc=0.4375
====iter_5000: fit=2.2970, reg=0.6600, thom=4.0347, thomf=3.9820, acc=0.4297
====iter_5100: fit=1.8559, reg=0.6683, thom=4.0344, thomf=3.9807, acc=0.5156
====iter_5200: fit=1.8422, reg=0.6782, thom=4.0337, thomf=3.9808, acc=0.4688
====iter_5300: fit=1.9464, reg=0.6884, thom=4.0338, thomf=3.9807, acc=0.5469
====iter_5400: fit=2.0278, reg=0.6984, thom=4.0334, thomf=3.9820, acc=0.4141
====iter_5500: fit=1.9200, reg=0.7061, thom=4.0331, thomf=3.9805, acc=0.4609
====iter_5600: fit=1.7297, reg=0.7171, thom=4.0329, thomf=3.9804, acc=0.5312
====iter_5700: fit=2.1635, reg=0.7251, thom=4.0324, thomf=3.9808, acc=0.4453
====iter_5800: fit=2.2607, reg=0.7322, thom=4.0323, thomf=3.9808, acc=0.4219
====iter_5900: fit=1.5962, reg=0.7390, thom=4.0320, thomf=3.9800, acc=0.5625
====iter_6000: fit=1.9387, reg=0.7481, thom=4.0321, thomf=3.9802, acc=0.4141
====iter_6100: fit=1.7803, reg=0.7558, thom=4.0319, thomf=3.9800, acc=0.5312
====iter_6200: fit=2.0275, reg=0.7619, thom=4.0316, thomf=3.9796, acc=0.4531
====iter_6300: fit=1.5124, reg=0.7695, thom=4.0315, thomf=3.9790, acc=0.5859
====iter_6400: fit=1.5169, reg=0.7775, thom=4.0311, thomf=3.9794, acc=0.6328
====iter_6500: fit=1.7591, reg=0.7833, thom=4.0307, thomf=3.9795, acc=0.4688
====iter_6600: fit=1.9986, reg=0.7888, thom=4.0303, thomf=3.9793, acc=0.5078
====iter_6700: fit=1.6358, reg=0.7948, thom=4.0300, thomf=3.9787, acc=0.5625
====iter_6800: fit=1.5279, reg=0.8013, thom=4.0298, thomf=3.9785, acc=0.5781
====iter_6900: fit=1.9141, reg=0.8079, thom=4.0300, thomf=3.9789, acc=0.4609
====iter_7000: fit=2.0918, reg=0.8119, thom=4.0295, thomf=3.9786, acc=0.4766
====iter_7100: fit=1.5577, reg=0.8175, thom=4.0291, thomf=3.9771, acc=0.6250
====iter_7200: fit=1.8146, reg=0.8238, thom=4.0287, thomf=3.9789, acc=0.5234
====iter_7300: fit=1.8370, reg=0.8307, thom=4.0292, thomf=3.9788, acc=0.5391
====iter_7400: fit=1.9112, reg=0.8331, thom=4.0288, thomf=3.9784, acc=0.5000
====iter_7500: fit=1.7868, reg=0.8400, thom=4.0285, thomf=3.9777, acc=0.5234
====iter_7600: fit=1.6638, reg=0.8423, thom=4.0278, thomf=3.9784, acc=0.5859
====iter_7700: fit=1.8078, reg=0.8454, thom=4.0277, thomf=3.9783, acc=0.5000
====iter_7800: fit=1.4897, reg=0.8473, thom=4.0275, thomf=3.9791, acc=0.6016
====iter_7900: fit=1.5188, reg=0.8513, thom=4.0272, thomf=3.9779, acc=0.5938
====iter_8000: fit=1.6608, reg=0.8575, thom=4.0269, thomf=3.9777, acc=0.6094
====iter_8100: fit=1.6341, reg=0.8621, thom=4.0268, thomf=3.9780, acc=0.5625
====iter_8200: fit=1.7839, reg=0.8657, thom=4.0271, thomf=3.9780, acc=0.5312
====iter_8300: fit=1.8647, reg=0.8699, thom=4.0266, thomf=3.9782, acc=0.5156
====iter_8400: fit=1.7890, reg=0.8768, thom=4.0264, thomf=3.9775, acc=0.5156
====iter_8500: fit=1.8692, reg=0.8797, thom=4.0261, thomf=3.9781, acc=0.4922
====iter_8600: fit=2.0171, reg=0.8812, thom=4.0261, thomf=3.9779, acc=0.4844
====iter_8700: fit=1.6628, reg=0.8888, thom=4.0258, thomf=3.9781, acc=0.5391
====iter_8800: fit=1.6419, reg=0.8927, thom=4.0256, thomf=3.9768, acc=0.5859
====iter_8900: fit=1.5401, reg=0.8947, thom=4.0255, thomf=3.9777, acc=0.5547
====iter_9000: fit=1.6113, reg=0.8971, thom=4.0251, thomf=3.9780, acc=0.5625
====iter_9100: fit=1.6889, reg=0.9025, thom=4.0247, thomf=3.9772, acc=0.5547
====iter_9200: fit=1.8011, reg=0.9074, thom=4.0246, thomf=3.9775, acc=0.5078
====iter_9300: fit=1.8479, reg=0.9086, thom=4.0242, thomf=3.9781, acc=0.5000
====iter_9400: fit=1.6539, reg=0.9096, thom=4.0239, thomf=3.9773, acc=0.5391
====iter_9500: fit=1.7272, reg=0.9132, thom=4.0237, thomf=3.9769, acc=0.5078
====iter_9600: fit=1.6904, reg=0.9155, thom=4.0237, thomf=3.9767, acc=0.5156
====iter_9700: fit=1.5163, reg=0.9170, thom=4.0236, thomf=3.9774, acc=0.6172
====iter_9800: fit=1.4316, reg=0.9207, thom=4.0234, thomf=3.9770, acc=0.6172
====iter_9900: fit=1.7324, reg=0.9253, thom=4.0233, thomf=3.9769, acc=0.5312
====iter_10000: fit=1.7316, reg=0.9267, thom=4.0233, thomf=3.9773, acc=0.5234
====iter_10100: fit=1.8886, reg=0.9268, thom=4.0231, thomf=3.9763, acc=0.5000
====iter_10200: fit=1.5500, reg=0.9281, thom=4.0229, thomf=3.9758, acc=0.6250
====iter_10300: fit=1.5832, reg=0.9331, thom=4.0225, thomf=3.9766, acc=0.5625
====iter_10400: fit=1.7039, reg=0.9353, thom=4.0224, thomf=3.9762, acc=0.5859
====iter_10500: fit=1.7487, reg=0.9376, thom=4.0225, thomf=3.9766, acc=0.5078
====iter_10600: fit=1.5561, reg=0.9423, thom=4.0224, thomf=3.9770, acc=0.6016
====iter_10700: fit=1.3924, reg=0.9458, thom=4.0221, thomf=3.9768, acc=0.6250
====iter_10800: fit=1.6597, reg=0.9469, thom=4.0218, thomf=3.9770, acc=0.5078
====iter_10900: fit=1.7934, reg=0.9463, thom=4.0217, thomf=3.9767, acc=0.5000
====iter_11000: fit=1.8278, reg=0.9492, thom=4.0215, thomf=3.9765, acc=0.5156
====iter_11100: fit=1.5281, reg=0.9521, thom=4.0216, thomf=3.9763, acc=0.5859
====iter_11200: fit=1.4725, reg=0.9551, thom=4.0218, thomf=3.9765, acc=0.5938
====iter_11300: fit=1.5456, reg=0.9562, thom=4.0217, thomf=3.9764, acc=0.5781
====iter_11400: fit=1.3536, reg=0.9614, thom=4.0214, thomf=3.9765, acc=0.6562
====iter_11500: fit=1.6334, reg=0.9663, thom=4.0212, thomf=3.9766, acc=0.5859
====iter_11600: fit=1.8068, reg=0.9669, thom=4.0212, thomf=3.9764, acc=0.5234
====iter_11700: fit=1.4405, reg=0.9672, thom=4.0211, thomf=3.9764, acc=0.6328
====iter_11800: fit=1.5579, reg=0.9705, thom=4.0210, thomf=3.9762, acc=0.5938
====iter_11900: fit=1.6484, reg=0.9709, thom=4.0209, thomf=3.9766, acc=0.5156
====iter_12000: fit=1.5487, reg=0.9741, thom=4.0208, thomf=3.9770, acc=0.6250
====iter_12100: fit=1.8161, reg=0.9744, thom=4.0208, thomf=3.9765, acc=0.5469
====iter_12200: fit=1.5226, reg=0.9778, thom=4.0209, thomf=3.9765, acc=0.6016
====iter_12300: fit=1.3844, reg=0.9812, thom=4.0208, thomf=3.9765, acc=0.6328
====iter_12400: fit=1.6420, reg=0.9829, thom=4.0206, thomf=3.9764, acc=0.5938
====iter_12500: fit=1.4814, reg=0.9833, thom=4.0205, thomf=3.9763, acc=0.5859
====iter_12600: fit=1.5963, reg=0.9859, thom=4.0203, thomf=3.9764, acc=0.5703
====iter_12700: fit=1.4553, reg=0.9861, thom=4.0203, thomf=3.9758, acc=0.5859
====iter_12800: fit=1.7704, reg=0.9865, thom=4.0203, thomf=3.9761, acc=0.5625
====iter_12900: fit=1.3860, reg=0.9853, thom=4.0202, thomf=3.9773, acc=0.6172
====iter_13000: fit=1.4020, reg=0.9889, thom=4.0204, thomf=3.9767, acc=0.6328
====iter_13100: fit=1.6388, reg=0.9923, thom=4.0204, thomf=3.9761, acc=0.5859
====iter_13200: fit=1.6444, reg=0.9913, thom=4.0201, thomf=3.9766, acc=0.6172
====iter_13300: fit=1.4894, reg=0.9922, thom=4.0198, thomf=3.9757, acc=0.5938
====iter_13400: fit=1.8510, reg=0.9975, thom=4.0197, thomf=3.9761, acc=0.4766
====iter_13500: fit=1.6975, reg=1.0005, thom=4.0199, thomf=3.9756, acc=0.5156
====iter_13600: fit=1.8611, reg=1.0016, thom=4.0201, thomf=3.9760, acc=0.5156
====iter_13700: fit=1.5609, reg=1.0018, thom=4.0198, thomf=3.9757, acc=0.5859
====iter_13800: fit=1.7579, reg=1.0042, thom=4.0197, thomf=3.9758, acc=0.5469
====iter_13900: fit=1.6206, reg=1.0080, thom=4.0196, thomf=3.9762, acc=0.5938
====iter_14000: fit=1.5598, reg=1.0073, thom=4.0195, thomf=3.9768, acc=0.5859
====iter_14100: fit=1.4238, reg=1.0075, thom=4.0197, thomf=3.9761, acc=0.6562
====iter_14200: fit=1.5696, reg=1.0075, thom=4.0195, thomf=3.9765, acc=0.5625
====iter_14300: fit=1.5466, reg=1.0097, thom=4.0193, thomf=3.9756, acc=0.5625
====iter_14400: fit=1.5648, reg=1.0108, thom=4.0194, thomf=3.9763, acc=0.5703
====iter_14500: fit=1.4991, reg=1.0120, thom=4.0194, thomf=3.9757, acc=0.6250
====iter_14600: fit=1.3747, reg=1.0138, thom=4.0193, thomf=3.9758, acc=0.6484
====iter_14700: fit=1.6773, reg=1.0176, thom=4.0192, thomf=3.9760, acc=0.5625
====iter_14800: fit=1.7718, reg=1.0189, thom=4.0193, thomf=3.9763, acc=0.5156
====iter_14900: fit=1.8381, reg=1.0182, thom=4.0194, thomf=3.9757, acc=0.5469
====iter_15000: fit=1.6223, reg=1.0212, thom=4.0194, thomf=3.9766, acc=0.6328
====iter_15100: fit=1.5888, reg=1.0183, thom=4.0191, thomf=3.9762, acc=0.5781
====iter_15200: fit=1.5259, reg=1.0199, thom=4.0193, thomf=3.9762, acc=0.6250
====iter_15300: fit=1.5396, reg=1.0210, thom=4.0191, thomf=3.9752, acc=0.6094
====iter_15400: fit=1.2970, reg=1.0249, thom=4.0188, thomf=3.9755, acc=0.6094
====iter_15500: fit=1.6102, reg=1.0255, thom=4.0187, thomf=3.9767, acc=0.5703
====iter_15600: fit=1.3768, reg=1.0270, thom=4.0188, thomf=3.9772, acc=0.5938
====iter_15700: fit=1.5639, reg=1.0291, thom=4.0188, thomf=3.9774, acc=0.5703
====iter_15800: fit=1.6840, reg=1.0296, thom=4.0187, thomf=3.9766, acc=0.5547
====iter_15900: fit=1.6312, reg=1.0308, thom=4.0187, thomf=3.9768, acc=0.5625
