====iter_100: fit=9.0669, reg=1.2427, thom=-0.6876, thomf=-0.6995, acc=0.0156
====iter_200: fit=9.1382, reg=1.1239, thom=-0.6890, thomf=-0.7007, acc=0.0078
====iter_300: fit=9.2094, reg=1.0165, thom=-0.6902, thomf=-0.7010, acc=0.0000
====iter_400: fit=9.2094, reg=0.9193, thom=-0.6912, thomf=-0.7011, acc=0.0000
====iter_500: fit=9.1382, reg=0.8314, thom=-0.6921, thomf=-0.7012, acc=0.0078
====iter_600: fit=9.1382, reg=0.7520, thom=-0.6929, thomf=-0.7014, acc=0.0078
====iter_700: fit=8.9957, reg=0.6801, thom=-0.6936, thomf=-0.7015, acc=0.0234
====iter_800: fit=9.1382, reg=0.6151, thom=-0.6942, thomf=-0.7016, acc=0.0078
====iter_900: fit=9.2094, reg=0.5563, thom=-0.6947, thomf=-0.7018, acc=0.0000
====iter_1000: fit=9.1382, reg=0.5031, thom=-0.6951, thomf=-0.7019, acc=0.0078
====iter_1100: fit=9.0669, reg=0.4550, thom=-0.6955, thomf=-0.7020, acc=0.0156
====iter_1200: fit=9.1382, reg=0.4115, thom=-0.6959, thomf=-0.7021, acc=0.0078
====iter_1300: fit=9.1382, reg=0.3722, thom=-0.6962, thomf=-0.7022, acc=0.0078
====iter_1400: fit=9.2094, reg=0.3366, thom=-0.6965, thomf=-0.7023, acc=0.0000
====iter_1500: fit=9.1382, reg=0.3044, thom=-0.6968, thomf=-0.7024, acc=0.0078
====iter_1600: fit=9.0669, reg=0.2753, thom=-0.6971, thomf=-0.7025, acc=0.0156
====iter_1700: fit=9.0669, reg=0.2490, thom=-0.6974, thomf=-0.7026, acc=0.0156
====iter_1800: fit=9.2094, reg=0.2252, thom=-0.6976, thomf=-0.7027, acc=0.0000
====iter_1900: fit=9.0669, reg=0.2037, thom=-0.6978, thomf=-0.7028, acc=0.0156
====iter_2000: fit=9.0668, reg=0.1842, thom=-0.6981, thomf=-0.7029, acc=0.0156
====iter_2100: fit=4.7388, reg=0.2417, thom=-0.6580, thomf=-0.6994, acc=0.0078
====iter_2200: fit=4.5994, reg=0.2274, thom=-0.6691, thomf=-0.6999, acc=0.0078
====iter_2300: fit=4.4812, reg=0.2073, thom=-0.6781, thomf=-0.6988, acc=0.0469
====iter_2400: fit=4.3217, reg=0.1923, thom=-0.6833, thomf=-0.6933, acc=0.0703
====iter_2500: fit=4.2534, reg=0.1831, thom=-0.6854, thomf=-0.6879, acc=0.0312
====iter_2600: fit=3.8472, reg=0.1787, thom=-0.6861, thomf=-0.6856, acc=0.0781
====iter_2700: fit=3.8406, reg=0.1768, thom=-0.6865, thomf=-0.6847, acc=0.1328
====iter_2800: fit=3.7032, reg=0.1780, thom=-0.6867, thomf=-0.6851, acc=0.0938
====iter_2900: fit=3.6977, reg=0.1831, thom=-0.6867, thomf=-0.6855, acc=0.1172
====iter_3000: fit=3.7803, reg=0.1898, thom=-0.6871, thomf=-0.6858, acc=0.1016
====iter_3100: fit=3.2904, reg=0.2004, thom=-0.6870, thomf=-0.6855, acc=0.1797
====iter_3200: fit=3.1590, reg=0.2149, thom=-0.6870, thomf=-0.6861, acc=0.2578
====iter_3300: fit=3.4557, reg=0.2289, thom=-0.6873, thomf=-0.6868, acc=0.1875
====iter_3400: fit=3.1418, reg=0.2435, thom=-0.6876, thomf=-0.6868, acc=0.1953
====iter_3500: fit=2.7953, reg=0.2587, thom=-0.6874, thomf=-0.6868, acc=0.3203
====iter_3600: fit=2.7328, reg=0.2780, thom=-0.6876, thomf=-0.6873, acc=0.2422
====iter_3700: fit=2.7754, reg=0.2973, thom=-0.6877, thomf=-0.6877, acc=0.3281
====iter_3800: fit=3.0207, reg=0.3164, thom=-0.6878, thomf=-0.6879, acc=0.2891
====iter_3900: fit=2.7913, reg=0.3341, thom=-0.6881, thomf=-0.6880, acc=0.2344
====iter_4000: fit=2.6225, reg=0.3543, thom=-0.6880, thomf=-0.6888, acc=0.4219
====iter_4100: fit=2.4516, reg=0.3710, thom=-0.6883, thomf=-0.6893, acc=0.3750
====iter_4200: fit=2.8325, reg=0.3882, thom=-0.6886, thomf=-0.6893, acc=0.2344
====iter_4300: fit=2.5135, reg=0.4049, thom=-0.6888, thomf=-0.6896, acc=0.3594
====iter_4400: fit=2.5497, reg=0.4215, thom=-0.6889, thomf=-0.6900, acc=0.3828
====iter_4500: fit=2.2004, reg=0.4365, thom=-0.6891, thomf=-0.6903, acc=0.3984
====iter_4600: fit=2.2676, reg=0.4511, thom=-0.6893, thomf=-0.6902, acc=0.3438
====iter_4700: fit=1.9845, reg=0.4651, thom=-0.6893, thomf=-0.6904, acc=0.4922
====iter_4800: fit=2.0018, reg=0.4804, thom=-0.6894, thomf=-0.6909, acc=0.4609
