====iter_100: fit=9.1382, reg=1.2517, thom=0.7115, thomf=0.7069, acc=0.0078
====iter_200: fit=9.2094, reg=1.1321, thom=0.7113, thomf=0.7058, acc=0.0000
====iter_300: fit=9.2094, reg=1.0239, thom=0.7110, thomf=0.7053, acc=0.0000
====iter_400: fit=9.1382, reg=0.9260, thom=0.7107, thomf=0.7050, acc=0.0078
====iter_500: fit=9.1382, reg=0.8375, thom=0.7104, thomf=0.7049, acc=0.0078
====iter_600: fit=9.1382, reg=0.7574, thom=0.7101, thomf=0.7048, acc=0.0078
====iter_700: fit=9.2094, reg=0.6850, thom=0.7098, thomf=0.7047, acc=0.0000
====iter_800: fit=9.0669, reg=0.6195, thom=0.7095, thomf=0.7047, acc=0.0156
====iter_900: fit=9.2094, reg=0.5603, thom=0.7093, thomf=0.7046, acc=0.0000
====iter_1000: fit=9.1382, reg=0.5067, thom=0.7090, thomf=0.7046, acc=0.0078
====iter_1100: fit=9.2094, reg=0.4583, thom=0.7087, thomf=0.7045, acc=0.0000
====iter_1200: fit=9.0669, reg=0.4145, thom=0.7085, thomf=0.7044, acc=0.0156
====iter_1300: fit=9.0669, reg=0.3749, thom=0.7083, thomf=0.7044, acc=0.0156
====iter_1400: fit=9.2094, reg=0.3390, thom=0.7080, thomf=0.7043, acc=0.0000
====iter_1500: fit=9.1382, reg=0.3066, thom=0.7078, thomf=0.7043, acc=0.0078
====iter_1600: fit=9.2094, reg=0.2773, thom=0.7076, thomf=0.7042, acc=0.0000
====iter_1700: fit=9.2094, reg=0.2508, thom=0.7074, thomf=0.7041, acc=0.0000
====iter_1800: fit=9.0669, reg=0.2268, thom=0.7073, thomf=0.7041, acc=0.0156
====iter_1900: fit=9.1382, reg=0.2051, thom=0.7071, thomf=0.7040, acc=0.0078
====iter_2000: fit=9.1382, reg=0.1855, thom=0.7069, thomf=0.7040, acc=0.0078
====iter_2100: fit=9.1382, reg=0.1678, thom=0.7068, thomf=0.7039, acc=0.0078
====iter_2200: fit=4.7027, reg=0.2146, thom=0.7298, thomf=0.7064, acc=0.0000
====iter_2300: fit=4.6295, reg=0.2100, thom=0.7282, thomf=0.7065, acc=0.0234
====iter_2400: fit=4.5388, reg=0.1917, thom=0.7242, thomf=0.7066, acc=0.0078
====iter_2500: fit=4.4786, reg=0.1768, thom=0.7210, thomf=0.7109, acc=0.0078
====iter_2600: fit=4.3739, reg=0.1666, thom=0.7188, thomf=0.7132, acc=0.0469
====iter_2700: fit=4.1579, reg=0.1586, thom=0.7175, thomf=0.7152, acc=0.0469
====iter_2800: fit=4.1896, reg=0.1558, thom=0.7171, thomf=0.7153, acc=0.0547
====iter_2900: fit=3.9247, reg=0.1566, thom=0.7169, thomf=0.7163, acc=0.0625
====iter_3000: fit=3.7368, reg=0.1606, thom=0.7165, thomf=0.7166, acc=0.1250
