====iter_100: fit=9.2094, reg=1.1953, thom=0.4044, thomf=0.3983, acc=0.0000
====iter_200: fit=9.0669, reg=1.0810, thom=0.4038, thomf=0.3971, acc=0.0156
====iter_300: fit=8.9957, reg=0.9777, thom=0.4033, thomf=0.3966, acc=0.0234
====iter_400: fit=9.1382, reg=0.8842, thom=0.4028, thomf=0.3964, acc=0.0078
====iter_500: fit=8.9957, reg=0.7997, thom=0.4023, thomf=0.3963, acc=0.0234
====iter_600: fit=9.2094, reg=0.7232, thom=0.4019, thomf=0.3962, acc=0.0000
====iter_700: fit=9.1382, reg=0.6541, thom=0.4015, thomf=0.3961, acc=0.0078
====iter_800: fit=9.1382, reg=0.5916, thom=0.4011, thomf=0.3960, acc=0.0078
====iter_900: fit=9.1382, reg=0.5350, thom=0.4007, thomf=0.3959, acc=0.0078
====iter_1000: fit=9.0669, reg=0.4839, thom=0.4004, thomf=0.3958, acc=0.0156
====iter_1100: fit=9.1382, reg=0.4376, thom=0.4001, thomf=0.3957, acc=0.0078
====iter_1200: fit=9.2094, reg=0.3958, thom=0.3998, thomf=0.3956, acc=0.0000
====iter_1300: fit=9.1382, reg=0.3580, thom=0.3995, thomf=0.3955, acc=0.0078
====iter_1400: fit=9.1382, reg=0.3237, thom=0.3993, thomf=0.3955, acc=0.0078
====iter_1500: fit=9.2094, reg=0.2928, thom=0.3991, thomf=0.3954, acc=0.0000
====iter_1600: fit=9.1382, reg=0.2648, thom=0.3989, thomf=0.3953, acc=0.0078
====iter_1700: fit=9.0669, reg=0.2395, thom=0.3987, thomf=0.3952, acc=0.0156
====iter_1800: fit=9.1382, reg=0.2166, thom=0.3985, thomf=0.3951, acc=0.0078
====iter_1900: fit=9.0669, reg=0.1959, thom=0.3983, thomf=0.3951, acc=0.0156
====iter_2000: fit=9.2094, reg=0.1772, thom=0.3982, thomf=0.3950, acc=0.0000
====iter_2100: fit=4.7380, reg=0.2580, thom=0.4419, thomf=0.3978, acc=0.0156
====iter_2200: fit=4.5277, reg=0.2375, thom=0.4289, thomf=0.3977, acc=0.0312
====iter_2300: fit=4.5073, reg=0.2162, thom=0.4209, thomf=0.3992, acc=0.0234
====iter_2400: fit=4.4404, reg=0.1999, thom=0.4161, thomf=0.4044, acc=0.0234
====iter_2500: fit=4.0013, reg=0.1936, thom=0.4143, thomf=0.4098, acc=0.1172
====iter_2600: fit=3.9040, reg=0.1902, thom=0.4131, thomf=0.4114, acc=0.1094
====iter_2700: fit=3.7857, reg=0.1890, thom=0.4120, thomf=0.4120, acc=0.1406
====iter_2800: fit=3.6720, reg=0.1925, thom=0.4118, thomf=0.4121, acc=0.1406
====iter_2900: fit=3.1792, reg=0.1992, thom=0.4118, thomf=0.4123, acc=0.2344
====iter_3000: fit=3.3575, reg=0.2099, thom=0.4113, thomf=0.4122, acc=0.2109
====iter_3100: fit=3.2677, reg=0.2219, thom=0.4108, thomf=0.4118, acc=0.1641
====iter_3200: fit=3.1251, reg=0.2385, thom=0.4108, thomf=0.4112, acc=0.2500
====iter_3300: fit=3.0297, reg=0.2553, thom=0.4105, thomf=0.4109, acc=0.2578
====iter_3400: fit=2.9921, reg=0.2714, thom=0.4102, thomf=0.4106, acc=0.2734
====iter_3500: fit=2.8749, reg=0.2880, thom=0.4096, thomf=0.4107, acc=0.3047
====iter_3600: fit=2.8272, reg=0.3068, thom=0.4095, thomf=0.4103, acc=0.2891
====iter_3700: fit=2.7611, reg=0.3238, thom=0.4093, thomf=0.4100, acc=0.2734
====iter_3800: fit=2.4993, reg=0.3420, thom=0.4091, thomf=0.4099, acc=0.3672
====iter_3900: fit=2.1277, reg=0.3592, thom=0.4088, thomf=0.4093, acc=0.4375
====iter_4000: fit=2.4099, reg=0.3767, thom=0.4087, thomf=0.4090, acc=0.3828
====iter_4100: fit=2.9113, reg=0.3936, thom=0.4086, thomf=0.4089, acc=0.2422
====iter_4200: fit=2.4603, reg=0.4097, thom=0.4083, thomf=0.4085, acc=0.3516
====iter_4300: fit=2.2807, reg=0.4257, thom=0.4080, thomf=0.4084, acc=0.4297
====iter_4400: fit=2.3511, reg=0.4414, thom=0.4078, thomf=0.4080, acc=0.3984
====iter_4500: fit=2.2338, reg=0.4567, thom=0.4076, thomf=0.4077, acc=0.3828
====iter_4600: fit=2.2623, reg=0.4701, thom=0.4074, thomf=0.4081, acc=0.3750
====iter_4700: fit=2.3328, reg=0.4819, thom=0.4073, thomf=0.4079, acc=0.4062
====iter_4800: fit=2.2327, reg=0.4979, thom=0.4072, thomf=0.4074, acc=0.4453
====iter_4900: fit=2.2875, reg=0.5104, thom=0.4070, thomf=0.4070, acc=0.4141
====iter_5000: fit=2.1570, reg=0.5218, thom=0.4068, thomf=0.4071, acc=0.4766
====iter_5100: fit=1.7643, reg=0.5342, thom=0.4067, thomf=0.4069, acc=0.5859
====iter_5200: fit=2.0514, reg=0.5476, thom=0.4065, thomf=0.4070, acc=0.4609
====iter_5300: fit=1.9978, reg=0.5589, thom=0.4065, thomf=0.4070, acc=0.4531
====iter_5400: fit=2.1034, reg=0.5692, thom=0.4063, thomf=0.4067, acc=0.4297
